LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,ClossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG,LinkWAID
2,2,0,4,4,3,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
4,2,2,5,3,8,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
5,2,4,6,8,9,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
6,2,5,7,9,10,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
7,2,6,8,10,11,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
8,2,7,9,11,12,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
9,2,8,10,12,13,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
10,2,9,11,13,14,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
11,0,10,12,14,15,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
12,0,11,13,15,16,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
13,0,12,14,16,17,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
14,0,13,15,17,18,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
15,0,14,16,18,19,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
16,0,15,17,19,20,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
17,0,16,18,20,21,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
18,0,17,19,21,22,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
19,0,18,20,22,23,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
20,0,19,21,23,24,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
21,0,20,22,24,25,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
22,0,21,23,25,26,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
23,0,22,24,26,27,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
24,0,23,25,27,28,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
25,0,24,26,28,29,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
26,0,25,27,29,30,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
27,0,26,28,30,31,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
28,0,27,29,31,32,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
29,0,28,30,32,33,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
30,0,29,31,33,34,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
31,0,30,32,34,35,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
32,0,31,33,35,36,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
33,0,32,34,36,37,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
34,0,33,35,37,38,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
35,0,34,36,38,39,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
36,0,35,37,39,40,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
37,0,36,38,40,41,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
38,0,37,39,41,42,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
39,0,38,40,42,43,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
40,0,39,41,43,44,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
41,0,40,42,44,45,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
42,0,41,43,45,46,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
43,0,42,44,46,47,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
44,0,43,45,47,48,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
45,0,44,46,48,49,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
46,0,45,47,49,50,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
47,0,46,48,50,51,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
48,0,47,49,51,52,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
49,0,48,50,52,53,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
50,0,49,51,53,54,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
51,0,50,52,54,55,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
52,0,51,53,55,56,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
53,0,52,54,56,57,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
54,0,53,55,57,58,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
55,0,54,56,58,59,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
56,0,55,57,59,60,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
57,0,56,58,60,61,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
58,0,57,59,61,62,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
59,0,58,60,62,63,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
60,0,59,61,63,64,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
61,0,60,62,64,65,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
62,0,61,63,65,66,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
63,0,62,64,66,67,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
64,0,63,65,67,68,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
65,0,64,66,68,69,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
66,0,65,67,69,70,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
67,0,66,68,70,71,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
68,0,67,69,71,72,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
69,0,68,70,72,73,0,0,0,0,0,0,0,0,1,1,1,0,30,15,0,0,2
70,0,69,0,73,74,0,0,0,0,0,0,0,0,0.621,1,1,0,30,15,0,0,2
